Ref,Qty,Footprint,Footprint Library,Symbol,Symbol Library,Datasheet,MF_Name,MF_PN,S1_Name,S1_PN,Type
B1,1,,,BATT-LIPO-3.7V-500MAH-JST-2PIN,wickerlib,https://cdn-shop.adafruit.com/product-files/1578/C1854+PKCell+Datasheet+Li-Polymer+503035+500mAh+3.7V+with+PCM.pdf,PKCELL,LP503035,Adafruit,1578,
BAT1,1,BATT-HOLDER-CR1220-BK-916,Wickerlib,BATT-CR1220-HOLDER-SMT-FLATPIN,wickerlib,http://www.memoryprotectiondevices.com/datasheets/BK-916-datasheet.pdf,MPD,BK-916-TR,Digikey,BK-916-CT-ND,
C1,1,CAP-RADIAL-ALUM-D6.3MM-P2.5MM,Wickerlib,CAP-CER-330UF-16V-20%-ALUM-RADIAL,wickerlib,http://katalog.we-online.de/pbs/datasheet/860020373011.pdf,Wurth,860020373011,Digikey,732-8798-1-ND,
C10,1,RLC-0603-SMD,Wickerlib,CAP-CER-270NF-16V-X7R-0603,wickerlib,http://search.murata.co.jp/Ceramy/image/img/A01X/partnumbering_e_01.pdf,Murata,GRM188R71C274KA01D,Digikey,490-6427-1-ND,
C11 C13 C2 C7,4,RLC-1206-SMD,Wickerlib,CAP-CER-1.5UF-25V-X7R-1206,wickerlib,http://www.samsungsem.com/kr/support/library/product-catalog/mlcc.jsp,Samsung,CL31B155KAHVPNE,Digikey,1276-6873-1-ND,
C12 C28 C8,3,RLC-0603-SMD,Wickerlib,CAP-CER-10NF-50V-X7R-0603,wickerlib,http://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM188R71H103KA01-01.pdf,Murata,GRM188R71H103KA01D,Digikey,490-1512-1-ND,
C14 C29 C34 C4 C49 C50 C9,7,RLC-0805-SMD,Wickerlib,CAP-CER-1UF-25V-X7R-0805,wickerlib,http://www.samsungsem.com/kr/front/downloadcms.do?path=/kr/support/product-search/mlcc/__icsFiles/afieldfile/2014/11/05&fileName=C_CL21B104KACNNNC.pdf,Samsung,CL21B105KAFNNNE,Digikey,1276-1066-1-ND,
C15 C54 C55 C56 C6,5,RLC-1210-SMD,Wickerlib,CAP-CER-22UF-25V-X7R-1210,wickerlib,http://www.samsungsem.com/kr/front/downloadcms.do?path=/kr/support/product-search/mlcc/__icsFiles/afieldfile/2014/11/05&fileName=C_CL32B226KAJNNNE.pdf,Samsung,CL32B226KAJNNNE,Digikey,1276-3392-1-ND,
C16 C17 C19 C22,4,RLC-1210-SMD,Wickerlib,CAP-CER-2.2UF-25V-X7R-0805,wickerlib,http://media.digikey.com/pdf/Data%20Sheets/Samsung%20PDFs/CL21B225KAFNFNE_Spec.pdf,Samsung,CL21B225KAFNFNE,Digikey,1276-2953-1-ND,
C18,1,RLC-0603-SMD,Wickerlib,CAP-CER-33PF-16V-X7R-0603,wickerlib,http://catalogs.avx.com/SurfaceMount.pdf,AVX,0603YC330JAT2A,Digikey,478-6211-1-ND,
