Refdes,Quantity,Description,Manufacturer,MPN
B1,1,Lithium Ion Polymer Battery - 3.7v 500mAh,PKCELL,LP503035
BAT1,1,CR1220 BATTERY HOLDER SMT FLATPIN,MPD,BK-916-TR
C1,1,CAP ALUM 330UF 20% 16V RADIAL,Wurth,860020373011
C10,1,CAP CER 0.27UF 16V X7R 0603,Murata,GRM188R71C274KA01D
C11 C13 C2 C7,4,CAP CER 1.5UF 25V X7R 1206,Samsung,CL31B155KAHVPNE
C12 C28 C8,3,CAP CER 0.01UF 50V X7R 0603,Murata,GRM188R71H103KA01D
C14 C29 C34 C4 C49 C50 C9,7,CAP CER 1UF 25V X7R 0805,Samsung,CL21B105KAFNNNE
C15 C54 C55 C56 C6,5,CAP CER 22UF 25V X7R 1210,Samsung,CL32B226KAJNNNE
C16 C17 C19 C22,4,CAP CER 2.2UF 25V X7R 0805,Samsung,CL21B225KAFNFNE
C18,1,CAP CER 33PF 16V X7R 0603,AVX,0603YC330JAT2A
C20 C21 C23 C24 C43 C44 C45,7,CAP CER 4.7UF 50V X7R 1206,Taiyo Yuden,UMK316AB7475KL-T
C25 C31 C46 C53,4,CAP CER 10UF 16V X7R 0805,Samsung,CL21B106KOQNNNE
C26 C30 C36 C37 C38 C39 C47 C51 C52,9,CAP CER 0.1UF 100V X7R 0603,Murata,GRM188R72A104KA35D
C27,1,CAP CER 0.022UF 50V X7R 0603,Samsung,CL10B223KB8SFNC
C3,1,CAP CER 0.22UF 25V X7R 0603,Samsung,CL10B224KA8NNNC
C33 C35,2,CAP CER 22pF 50V NP0 0603,Kemet,C0603C220K4GACTU
C40 C42,2,CAP CER 2PF 50V C0G/NP0 0603,Murata,GRM1885C1H2R0CA01D
C41,1,CAP CER 100PF 50V C0G/NP0 0603,Murata,GRM1885C1H101JA01D
C48,1,CAP CER 10PF 50V NP0 0603,Samsung,CL10C100JB8NCNC
C5,1,CAP CER 0.039UF 50V X7R 0603,Samsung,CL10B393KB8SFNC
D1 D4,2,DIODE SCHOTTKY 20V 1A SMA,Vishay,SS12-E3/61T
D2 D3,2,VARISTOR ESD PROTECT USB,Bourns,CG0603MLC-05E
F1,1,RESETTABLE FUSE 500mA 15V MF-MSMF,Bourns,MF-MSMF050-2
FID1 FID2 FID3,3,,,
J1 J2,2,HEADER MALE 2POS TH 1x02 0.1IN,Harwin,M20-9990246
J3,1,HEADER MALE 6POS KK100 0.1IN SHROUD TH,Molex,0022232061
J4,1,CONN MICRO SD CARD PUSH-PULL,Molex,0475710001
J5,1,USB MICRO-B RECEPTACLE 5PIN SMT R/A STUDS,Amphenol,10118193-0001LF
J6,1,HEADER FEMALE 6POS 2x3 0.1IN,TE Conn,7-215079-6
J7,1,ADAFRUIT FONA 808 + GPS,Adafruit,FONA808+GPS
J8,1,CONN PWR JACK 2.5X5.5MM HIGH CUR,CUI,PJ-202BH
J9,1,CONN HEADER PH SIDE 2POS 2MM,JST,S2B-PH-K-S(LF)(SN
L1 L3 L4 L5,4,FERRITE BEAD 30 OHM 0805 1LN,Bourns,MH2029-300Y
L2,1,FIXED IND 1UH 3.3A 1226AS-H-1R0N,Murata,1226AS-H-1R0N=P2
LED1 LED2 LED3,3,LED AMBER DIFFUSED 0603 SMD,OSRAM Opto,LA L296-Q2R2-1-Z
R1,1,RES SMD 220 OHM 5% 1/10W 0603,Yageo,RC0603JR-0722RL
R10,1,RES SMD 732 OHM 1% 1/10W 0603,Panasonic,ERJ-3EKF7320V
R11 R8,2,RES SMD 1.43K OHM 1% 1/10W 0603,Panasonic,ERJ-3EKF1431V
R12 R16 R23,3,RES SMD 2.26K OHM 1% 1/10W 0603,Yageo,RC0603FR-072K26L
R13 R33 R36,3,RES SMD 10K OHM 1% 1/8W 0603,Stackpole,RNCP0603FTD10K0
R14 R39 R40 R41,4,RES SMD 470 OHM 5% 1/4W 0603,Rohm Semi,ESR03EZPJ471
R15,1,RES SMD 97.6K OHM 1% 1/10W 0603,Panasonic,ERJ-3EKF9762V
R17,1,RES SMD 68 OHM 1% 1/10W 0603,Panasonic,ERJ-3EKF68R0V
R18 R19,2,RES SMD 91K OHM 1% 1/10W 0603,Panasonic,ERJ-3EKF9102V
R2,1,RES SMD 64.9K OHM 1% 1/10W 0603,Panasonic,ERJ-3EKF6492V
R20 R21,2,RES SMD 220K OHM 5% 1/8W 0805,Panasonic,ERJ-6GEYJ224V
R22 R26,2,RES SMD 2.2K OHM 5% 1/10W 0603,Panasonic,ERJ-3GEYJ222V
R24 R28,2,RES SMD 22K OHM 5% 1/10W 0603,Panasonic,ERJ-3GEYJ223V
R25 R29,2,RES SMD 4.32K OHM 1% 1/10W 0603,Panasonic,ERJ-3EKF4321V
R27,1,RES SMD 2.94K OHM 1% 1/10W 0603,Panasonic,ERJ-3EKF2941V
R3 R4 R44,3,RES SMD 100K OHM 1% 1/10W 0603,Stackpole,RMCF0603FG100K
R30 R6,2,RES SMD 3.83K OHM 1% 1/10W 0603,Panasonic,ERJ-3EKF3831V
R31,1,RES SMD 330 OHM 5% 1/10W 0603,Yageo,RC0603JR-07330RL
R32 R37,2,RES SMD 1K OHM 1% 1/10W 0603,Samsung,RC1608F102CS
R34 R35 R43,3,RES SMD 2K OHM 1% 1/8W 0603,Stackpole,RNCP0603FTD2K00
R38,1,RES SMD 0.0 OHM JUMPER 1/8W 0603,Vishay,MCT06030Z0000ZP500
R42,1,NTC THERMISTOR 10K OHM 1% 0402,Samsung,NTCG103JF103FT1
R45 R47,2,RES SMD 1M OHM 5% 1/10W 0603,Panasonic,ERJ-3GEYJ105V
R46,1,RES SMD 111K OHM 5% 1/10W 0603,Panasonic,ERJ-3GEYJ111V
R5,1,RES SMD 1.87K OHM 1% 1/10W 0603,Panasonic,ERJ-3EKF1871V
R7,1,RES SMD 10 OHM 1% 1/10W 0603,Panasonic,ERJ-3EKF10R0V
R9,1,RES SMD 470 OHM 5% 1/4W 0603,Yageo,RC0603FR-071K02L
S1,1,SWITCH TACTILE SPST-NO 0.05A 12V,Omron,B3U-1000P
U1 U2,2,IC OPAMP QUAD GP RRO 1MHZ SOIC14,Microchip,MCP6004T-I/SL
U10,1,IC REG BUCK BOOST ADJ 2A 10WSON,TI,TPS63060DSCR
U11,1,IC REG LDO 3.3V 0.25A MCP1703 SOT23A-3,Microchip,MCP1703T-3302E/CB
U3,1,IC OPAMP GP 3MHZ RRO 14SOIC,TI,TLV274CDR
U4,1,IC OPAMP GP 1MHZ RRO MCP6001 SOT23-5,Microchip,MCP6001T-I/OT
U5,1,IC ADC 16BIT SPI 860SPS ADS1118 10MSOP,TI,ADS1118IDGSR
U6,1,IC MCU 32BIT 256KB FLASH ATSAMD21G 48TQFP,Atmel,ATSAMD21G18A-AUT
U7,1,IC EEPROM 1MBIT 400KHZ 24AA1025 SOIC8,Microchip,24AA1025-I/SN
U8,1,IC RTC CLK/CALENDAR I2C MCP7940N SOIC8,Microchip,MCP7940N-E/SN
U9,1,IC USB/AC BATT CHRGR MCP73871 20QFN,Microchip,MCP73871T-2CCI/ML
W1,1,,,
X1,1,CRYSTAL 16MHZ 30PPM 18pF 4SMD,CTS,406I35D16M00000
X2,1,CRYSTAL 32.768kHz 7pF CFS-20632768DZYB,Citizen Finedevice,CFS-20632768DZYB
