Ref,Qty1,Qty3,Footprint,Footprint Library,Symbol,Symbol Library,Datasheet,MF_Name,MF_PN,S1_Name,S1_PN,Type
C1,1,3,CAP-RADIAL-ALUM-D6.3MM-P2.5MM,Wickerlib,CAP-CER-330UF-16V-20%-ALUM-RADIAL,wickerlib,http://katalog.we-online.de/pbs/datasheet/860020373011.pdf,Wurth,860020373011,Digikey,732-8798-1-ND,
C10,1,3,RLC-0603-SMD,Wickerlib,CAP-CER-270NF-16V-X7R-0603,wickerlib,http://search.murata.co.jp/Ceramy/image/img/A01X/partnumbering_e_01.pdf,Murata,GRM188R71C274KA01D,Digikey,490-6427-1-ND,
C11 C13 C2 C7,4,12,RLC-1206-SMD,Wickerlib,CAP-CER-1.5UF-25V-X7R-1206,wickerlib,http://www.samsungsem.com/kr/support/library/product-catalog/mlcc.jsp,Samsung,CL31B155KAHVPNE,Digikey,1276-6873-1-ND,
C12 C28 C8,3,9,RLC-0603-SMD,Wickerlib,CAP-CER-10NF-50V-X7R-0603,wickerlib,http://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM188R71H103KA01-01.pdf,Murata,GRM188R71H103KA01D,Digikey,490-1512-1-ND,
C14 C29 C4 C9,4,12,RLC-0805-SMD,Wickerlib,CAP-CER-1UF-25V-X7R-0805,wickerlib,http://www.samsungsem.com/kr/front/downloadcms.do?path=/kr/support/product-search/mlcc/__icsFiles/afieldfile/2014/11/05&fileName=C_CL21B104KACNNNC.pdf,Samsung,CL21B105KAFNNNE,Digikey,1276-1066-1-ND,
C15 C6,2,6,RLC-1210-SMD,Wickerlib,CAP-CER-22UF-25V-X7R-1210,wickerlib,http://www.samsungsem.com/kr/front/downloadcms.do?path=/kr/support/product-search/mlcc/__icsFiles/afieldfile/2014/11/05&fileName=C_CL32B226KAJNNNE.pdf,Samsung,CL32B226KAJNNNE,Digikey,1276-3392-1-ND,
C16 C17 C19 C22,4,12,RLC-1210-SMD,Wickerlib,CAP-CER-2.2UF-25V-X7R-0805,wickerlib,http://media.digikey.com/pdf/Data%20Sheets/Samsung%20PDFs/CL21B225KAFNFNE_Spec.pdf,Samsung,CL21B225KAFNFNE,Digikey,1276-2953-1-ND,
C18,1,3,RLC-0603-SMD,Wickerlib,CAP-CER-33PF-16V-X7R-0603,wickerlib,http://catalogs.avx.com/SurfaceMount.pdf,AVX,0603YC330JAT2A,Digikey,478-6211-1-ND,
C20 C21 C23 C24,4,12,RLC-1206-SMD,Wickerlib,CAP-CER-4.7UF-50V-X7R-1206,wickerlib,http://www.samsungsem.com/kr/support/product-search/mlcc/CL31B475KBHNNNE.jsp,Samsung,CL31B475KBHNNNE,Digikey,1276-2789-1-ND,
C25,1,3,RLC-0805-SMD,Wickerlib,CAP-CER-10UF-16V-X7R-0805,wickerlib,http://www.samsungsem.com/kr/front/downloadcms.do?path=/kr/support/product-search/mlcc/__icsFiles/afieldfile/2014/11/05&fileName=C_CL21B104KACNNNC.pdf,Samsung,CL21B106KOQNNNE,Digikey,1276-2872-1-ND,
C26,1,3,RLC-0603-SMD,Wickerlib,CAP-CER-0.1UF-100V-X7R-0603,wickerlib,http://search.murata.co.jp/Ceramy/image/img/A01X/partnumbering_e_01.pdf,Murata,GRM188R72A104KA35D,Digikey,490-3285-1-ND,
C27,1,3,RLC-0603-SMD,Wickerlib,CAP-CER-0.022UF-50V-X7R-0603,wickerlib,http://www.samsungsem.com/kr/support/product-search/mlcc/CL10B223KB8SFNC.jsp,Samsung,CL10B223KB8SFNC,Digikey,1276-2004-1-ND,
