Ref,Qty,Qty3,Description,MF,MF_PN,S1,S1_PN,Type
C1,1,3,CAP ALUM 330UF 20% 16V RADIAL,Wurth,860020373011,Digikey,732-8798-1-ND,
C10,1,3,CAP CER 0.27UF 16V X7R 0603,Murata,GRM188R71C274KA01D,Digikey,490-6427-1-ND,
C11 C13 C2 C7,4,12,CAP CER 1.5UF 25V X7R 1206,Samsung,CL31B155KAHVPNE,Digikey,1276-6873-1-ND,
C12 C28 C8,3,9,CAP CER 0.01UF 50V X7R 0603,Murata,GRM188R71H103KA01D,Digikey,490-1512-1-ND,
C14 C29 C4 C9,4,12,CAP CER 1UF 25V X7R 0805,Samsung,CL21B105KAFNNNE,Digikey,1276-1066-1-ND,
C15 C6,2,6,CAP CER 22UF 25V X7R 1210,Samsung,CL32B226KAJNNNE,Digikey,1276-3392-1-ND,
C16 C17 C19 C22,4,12,CAP CER 2.2UF 25V X7R 0805,Samsung,CL21B225KAFNFNE,Digikey,1276-2953-1-ND,
C18,1,3,CAP CER 33PF 16V X7R 0603,AVX,0603YC330JAT2A,Digikey,478-6211-1-ND,
C20 C21 C23 C24,4,12,CAP CER 4.7UF 50V X7R 1206,Samsung,CL31B475KBHNNNE,Digikey,1276-2789-1-ND,
C25,1,3,CAP CER 10UF 16V X7R 0805,Samsung,CL21B106KOQNNNE,Digikey,1276-2872-1-ND,
C26,1,3,CAP CER 0.1UF 100V X7R 0603,Murata,GRM188R72A104KA35D,Digikey,490-3285-1-ND,
C27,1,3,CAP CER 0.022UF 50V X7R 0603,Samsung,CL10B223KB8SFNC,Digikey,1276-2004-1-ND,
C3,1,3,CAP CER 0.22UF 25V X7R 0603,Samsung,CL10B224KA8NNNC,Digikey,1276-1111-1-ND,
C5,1,3,CAP CER 0.039UF 50V X7R 0603,Samsung,CL10B393KB8SFNC,Digikey,1276-2056-1-ND,
J1 J2,2,6,CONN TERM SCREW GREEN 2.54MM 2POS TH,OnShoreTech,OSTVN02A150,Digikey,ED10561-ND,
J3,1,3,HEADER MALE 1POS,Harwin,M20-9992046,Digikey,952-1902-ND,
LED1,1,3,LED AMBER DIFFUSED 0603 SMD,OSRAM Opto,LA L296-Q2R2-1-Z,Digikey,475-2712-1-ND,
R1 R32,2,6,RES SMD 220 OHM 5% 1/10W 0603,Yageo,RC0603JR-0722RL,Digikey,311-220GRCT-ND,
R10,1,3,RES SMD 732 OHM 1% 1/10W 0603,Panasonic,ERJ-3EKF7320V,Digikey,P732HCT-ND,
R11 R8,2,6,RES SMD 1.43K OHM 1% 1/10W 0603,Panasonic,ERJ-3EKF1431V,Digikey,P1.43KHCT-ND,
R12 R16 R23,3,9,RES SMD 2.26K OHM 1% 1/10W 0603,Yageo,RC0603FR-072K26L,Digikey,311-2.26KHRCT-ND,
R13,1,3,RES SMD 10K OHM 1% 1/8W 0603,Stackpole,RNCP0603FTD10K0,Digikey,RNCP0603FTD10K0CT-ND,
R14,1,3,RES SMD 470 OHM 5% 1/4W 0603,Rohm Semi,ESR03EZPJ471,Digikey,RHM470DCT-ND,
R15,1,3,RES SMD 97.6K OHM 1% 1/10W 0603,Panasonic,ERJ-3EKF9762V,Digikey,P97.6KHCT-ND,
R17,1,3,RES SMD 68 OHM 1% 1/10W 0603,Panasonic,ERJ-3EKF68R0V,Digikey,P68.0HCT-ND,
R18 R19,2,6,RES SMD 91K OHM 1% 1/10W 0603,Panasonic,ERJ-3EKF9102V,Digikey,P91.0KHCT-ND,
R2,1,3,RES SMD 64.9K OHM 1% 1/10W 0603,Panasonic,ERJ-3EKF6492V,Digikey,P64.9KHCT-ND,
R20 R21,2,6,RES SMD 220K OHM 5% 1/8W 0805,Panasonic,ERJ-6GEYJ224V,Digikey,P220KACT-ND,
