Location,MPN/Seeed SKU,Quantity
C1,860020373011,1
C10,GRM188R71C274KA01D,1
C11 C13 C2 C7,CL31B155KAHVPNE,4
C12 C28 C8,GRM188R71H103KA01D,3
C14 C29 C4 C9,CL21B105KAFNNNE,4
C15 C6,CL32B226KAJNNNE,2
C16 C17 C19 C22,CL21B225KAFNFNE,4
C18,0603YC330JAT2A,1
C20 C21 C23 C24,CL31B475KBHNNNE,4
C25,CL21B106KOQNNNE,1
C26,GRM188R72A104KA35D,1
C27,CL10B223KB8SFNC,1
C3,CL10B224KA8NNNC,1
C5,CL10B393KB8SFNC,1
J1 J2,OSTVN02A150,2
J3,M20-9992046,1
LED1,LA L296-Q2R2-1-Z,1
R1 R32,RC0603JR-0722RL,2
R10,ERJ-3EKF7320V,1
R11 R8,ERJ-3EKF1431V,2
R12 R16 R23,RC0603FR-072K26L,3
R13,RNCP0603FTD10K0,1
R14,ESR03EZPJ471,1
R15,ERJ-3EKF9762V,1
R17,ERJ-3EKF68R0V,1
R18 R19,ERJ-3EKF9102V,2
R2,ERJ-3EKF6492V,1
R20 R21,ERJ-6GEYJ224V,2
R22 R26,ERJ-3GEYJ222V,2
R24 R28,ERJ-3GEYJ223V,2
R25 R29,ERJ-3EKF4321V,2
R27,ERJ-3EKF2941V,1
R3 R4,RMCF0603FG100K,2
R30 R6,ERJ-3EKF3831V,2
R31,MCT06030Z0000ZP500,1
R5,ERJ-3EKF1871V,1
R7,ERJ-3EKF10R0V,1
R9,RC0603FR-071K02L,1
S1,B3U-1000P,1
U1 U2,MCP6004T-I/SL,2
U3,TLV274CDR,1
U4,MCP6001T-I/OT,1
U5,ARDUINO ZERO,1
