Refdes,Quantity,Description,Manufacturer,MPN
C1,1,CAP ALUM 330UF 20% 16V RADIAL,Wurth,860020373011
C10,1,CAP CER 0.27UF 16V X7R 0603,Murata,GRM188R71C274KA01D
C11 C13 C2 C7,4,CAP CER 1.5UF 25V X7R 1206,Samsung,CL31B155KAHVPNE
C12 C28 C8,3,CAP CER 0.01UF 50V X7R 0603,Murata,GRM188R71H103KA01D
C14 C29 C4 C9,4,CAP CER 1UF 25V X7R 0805,Samsung,CL21B105KAFNNNE
C15 C6,2,CAP CER 22UF 25V X7R 1210,Samsung,CL32B226KAJNNNE
C16 C17 C19 C22,4,CAP CER 2.2UF 25V X7R 0805,Samsung,CL21B225KAFNFNE
C18,1,CAP CER 33PF 16V X7R 0603,AVX,0603YC330JAT2A
C20 C21 C23 C24,4,CAP CER 4.7UF 50V X7R 1206,Samsung,CL31B475KBHNNNE
C25,1,CAP CER 10UF 16V X7R 0805,Samsung,CL21B106KOQNNNE
C26,1,CAP CER 0.1UF 100V X7R 0603,Murata,GRM188R72A104KA35D
C27,1,CAP CER 0.022UF 50V X7R 0603,Samsung,CL10B223KB8SFNC
C3,1,CAP CER 0.22UF 25V X7R 0603,Samsung,CL10B224KA8NNNC
C5,1,CAP CER 0.039UF 50V X7R 0603,Samsung,CL10B393KB8SFNC
J1 J2,2,CONN TERM SCREW GREEN 2.54MM 2POS TH,OnShoreTech,OSTVN02A150
J3,1,HEADER MALE 1POS,Harwin,M20-9992046
LED1,1,LED AMBER DIFFUSED 0603 SMD,OSRAM Opto,LA L296-Q2R2-1-Z
R1 R32,2,RES SMD 220 OHM 5% 1/10W 0603,Yageo,RC0603JR-0722RL
R10,1,RES SMD 732 OHM 1% 1/10W 0603,Panasonic,ERJ-3EKF7320V
R11 R8,2,RES SMD 1.43K OHM 1% 1/10W 0603,Panasonic,ERJ-3EKF1431V
R12 R16 R23,3,RES SMD 2.26K OHM 1% 1/10W 0603,Yageo,RC0603FR-072K26L
R13,1,RES SMD 10K OHM 1% 1/8W 0603,Stackpole,RNCP0603FTD10K0
R14,1,RES SMD 470 OHM 5% 1/4W 0603,Rohm Semi,ESR03EZPJ471
R15,1,RES SMD 97.6K OHM 1% 1/10W 0603,Panasonic,ERJ-3EKF9762V
R17,1,RES SMD 68 OHM 1% 1/10W 0603,Panasonic,ERJ-3EKF68R0V
R18 R19,2,RES SMD 91K OHM 1% 1/10W 0603,Panasonic,ERJ-3EKF9102V
R2,1,RES SMD 64.9K OHM 1% 1/10W 0603,Panasonic,ERJ-3EKF6492V
R20 R21,2,RES SMD 220K OHM 5% 1/8W 0805,Panasonic,ERJ-6GEYJ224V
R22 R26,2,RES SMD 2.2K OHM 5% 1/10W 0603,Panasonic,ERJ-3GEYJ222V
R24 R28,2,RES SMD 22K OHM 5% 1/10W 0603,Panasonic,ERJ-3GEYJ223V
R25 R29,2,RES SMD 4.32K OHM 1% 1/10W 0603,Panasonic,ERJ-3EKF4321V
R27,1,RES SMD 2.94K OHM 1% 1/10W 0603,Panasonic,ERJ-3EKF2941V
R3 R4,2,RES SMD 100K OHM 1% 1/10W 0603,Stackpole,RMCF0603FG100K
R30 R6,2,RES SMD 3.83K OHM 1% 1/10W 0603,Panasonic,ERJ-3EKF3831V
R31,1,RES SMD 0.0 OHM JUMPER 1/8W 0603,Vishay,MCT06030Z0000ZP500
R5,1,RES SMD 1.87K OHM 1% 1/10W 0603,Panasonic,ERJ-3EKF1871V
R7,1,RES SMD 10 OHM 1% 1/10W 0603,Panasonic,ERJ-3EKF10R0V
R9,1,RES SMD 470 OHM 5% 1/4W 0603,Yageo,RC0603FR-071K02L
S1,1,SWITCH TACTILE SPST-NO 0.05A 12V,Omron,B3U-1000P
U1 U2,2,IC OPAMP QUAD GP RRO 1MHZ SOIC14,Microchip,MCP6004T-I/SL
U3,1,IC OPAMP GP 3MHZ RRO 14SOIC,TI,TLV274CDR
U4,1,IC OPAMP GP 1MHZ RRO MCP6001 SOT23-5,Microchip,MCP6001T-I/OT
U5,1,ARDUINO ZERO SHIELD,Arduino,ARDUINO ZERO
